Atributo;Descrição
IDCarga;Código de identificação da carga.
IDAtracacao;Código de identificação da atracação. Ligação com a tabela de atracação.
Origem;Código do porto de origem da carga (porto de embarque), disponível para consulta na página: web.antaq.gov.br/portalv3/sdpv2servicosonline/ConsultarPorto.aspx
Destino;Código do porto de destino da carga (porto de desembarque), disponível para consulta na página: web.antaq.gov.br/portalv3/sdpv2servicosonline/ConsultarPorto.aspx
CDMercadoria;Classificação Nomenclatura Comum do Mercosul (código NCM SH4) para mercadorias. Contém os quatros primeiros dígitos do código NCM referente a posição do Sistema Harmonizado (SH). Contêineres e semireboques baú devem ser informados neste campo, por meio de códigos próprios. Códigos de mercadoria disponíveis para consulta na página: web.antaq.gov.br/portalv3/sdpv2servicosonline/ConsultarMercadoria.aspx
Tipo Operação da Carga;Classificação do tipo de operação da carga. Classificado até março de 2018 como: Apoio, Transbordo e Movimentação de Carga. A partir de abril de 2018, classificado de acordo com a Instrução Normativa 800 da Receita Federal, de 27 de dezembro de 2007.
Carga Geral Acondicionamento;Classifica a carga geral como solta ou conteinerizada
ConteinerEstado;Situação de preenchimento do contêiner, com valores possíveis de cheio(C) ou vazio(V).
Tipo Navegação;Tipo de navegação da carga, de acordo com os portos de embarque e desembarque: Navegação Interior (1), Apoio Portuário (2), Cabotagem (3), Apoio Marítimo (4) ou Longo Curso (5).
FlagAutorizacao;Identifica o transporte na navegação interior que utiliza portos públicos e privados autorizados pela Antaq. Dessa forma, podem ser considerados ou não os dados provenientes das administrações hidroviárias e demais fontes de informação, que não estão no Sistema Desempenho Portuário - SDP.
FlagCabotagem;Diferencia os montantes transportados na navegação de cabotagem daqueles movimentados pelos portos. Isto é, por conta de ser uma navegação doméstica, o transporte de cabotagem gera movimentação portuária na origem e no destino da carga, e essa flag evita a dupla contagem para fins de transporte.
FlagCabotagemMovimentacao;Diferencia os montantes movimentados na navegação de cabotagem. Isto é, considera para fins de apuração a movimentação portuária gerada na origem e destino do transporte em navegação de cabotagem.
FlagConteinerTamanho;"Categoriza os diversos tamanhos de contêiner em 20', 40' ou outros."
FlagLongoCurso;Identifica o transporte e a movimentação de cargas na navegação de longo curso.
FlagMCOperacaoCarga;Identifica os tipos de operação de carga que serão considerados para fins de apuração de movimentação e transporte.
FlagOffshore;Identifica as cargas oriundas de bacias sedimentares ou plataformas marítimas.
FlagTransporteViaInterioir;Identifica que o transporte ocorreu em via interior.
Percurso Transporte em vias Interiores;Classifica o percurso de transporte realizado exclusivamente em vias interiores. Podendo ser via Interior Internacional, Interior Estadual, Interior Interestadual ou Interior de percurso não identificado.
Percurso Transporte Interiores;Compreende a navegação que utilizou uma via interior no todo ou em parte do percurso de transporte. É classificada em longo curso em vias interiores, cabotagem em vias interiores e navegação interior.
STNaturezaCarga;Identificação que na atracação foi somente movimentada uma única natureza de carga. Utilizado para o cálculo de produtividade por grupo de mercadoria. Pode ser : Exclusivo ou compartilhado
STSH2;Identificação que na atracação foi somente movimentada um único capitulo. Utilizado para o cálculo de produtividade por grupo de mercadoria. Pode ser : Exclusivo ou compartilhado
STSH4;Identificação que na atracação foi somente movimentada uma única mercadoria. Utilizado para o cálculo de produtividade por mercadoria. Pode ser : Exclusivo ou compartilhado
Natureza da Carga;Natureza da carga: Granel Sólido, Granel Líquido, Carga Geral ou Carga Conteinerizada.
Sentido;Sentido da Operação: Desembarque (1) ou Embarque (2).
TEU;Se natureza da carga for contêiner, quantidade movimentada em TEUs (Twenty-foot Equivalent Unit).
QTCarga;Quantidade movimentada em unidades, se código carga referente a Contêineres ou Automóveis.
VLPesoCargaBruta;Peso bruto da carga, em toneladas. Para contêineres cheios: peso da tara do contêiner somado ao peso da carga acondicionada, em toneladas.
